Station,,,,,,Ground Level outside Station,Mean,Annual Entry + Exit million,Line(s)[*],Opened[3],Usage[5]
Abbey Road,539081,183352,51.53195199,0.003737786,3,0,0,0,,,
Abbey Wood,547297,179002,51.49078408,0.120286371,4,0,0,0,,,
Acton,520296,181196,51.51688696,-0.267675543,3,0,0,0,,,
Acton Central,520613,180299,51.50875781,-0.263415792,2,0,0,0,,,
Acton Town,519457,179639,51.50307148,-0.280288296,3,21,115.5,8899,District,July 1 1879,5.46
Albany Park,547903,172902,51.43581559,0.126459022,5,0,0,0,Piccadilly,,
Aldgate,533629,181246,51.51434239,-0.075612504,1,16,108.8,10397,Metropolitan[a],November 18 1876,5.974
Aldgate East,533809,181333,51.51508163,-0.072987054,1,14,105.01,12271,Hammersmith & City[d],October 6 1884,9.048
Alexandra Palace,530300,190498,51.59826284,-0.120134537,3,0,0,0,District,resited 31 October 1938,
All Saints,538012,180933,51.51047693,-0.012610478,2,0,0,0,DLR (Stratford Branch),August 31 1987,No Data
Alperton,518025,183849,51.54120931,-0.299501341,4,33,139.8,4719,Piccadilly[h],June 28 1903,3.044
Amersham,496454,198181,51.67412939,-0.606499331,9,145,249.3,3938,Metropolitan,September 1 1892,2.088
Anerley,534656,169942,51.41251673,-0.065122723,4,0,0,0,,,
Angel,531497,183263,51.53296803,-0.105567034,1,34,98.35,25367,Northern,November 17 1901,18.052
Angel Road,535204,192202,51.61242033,-0.048718479,4,0,0,0,,,
Archway,529356,186827,51.56549055,-0.135107152,2,56,134.73,12092,Northern,June 22 1907,8.048
Arnos Grove,529271,192471,51.61623016,-0.134255778,4,43,137.6,6392,Piccadilly,September 19 1932,4.312
Arsenal,531429,186107,51.55854139,-0.105485511,2,25,116.76,3752,Piccadilly,December 15 1906,3.052
Baker Street,527965,182078,51.52312964,-0.156889783,1,27,112.975,37818,Metropolitan[b],January 10 1863,25.637
Balham,528482,173195,51.44318258,-0.152670777,3,26,112.62,17957,Northern,December 6 1926,11.55
Bank,532704,181111,51.51334707,-0.088985715,1,14,90.62,0,Waterloo & City,August 8 1898,40.655[6]
Banstead,524590,160426,51.32929315,-0.213117985,6,0,0,0,Northern,,
Barbican,532079,181859,51.5202153,-0.097707168,1,18,109.4,16968,Metropolitan[b],December 23 1865,9.261
Barking,544405,184343,51.5395211,0.080846027,4,9,106.4,19993,District[j],June 2 1902,13.046
